pt                ,en             ,Part of Speech ,Notes              ,Related                    ,
O suor            ,sweat          ,Noun           ,                   ,                           ,
a mesa            ,table          ,Noun           ,                   ,                           ,
o alto            ,tall           ,Noun           ,                   ,                           ,
o chá             ,tea            ,Noun           ,                   ,                           ,
a professora      ,teacher        ,Noun           ,                   ,                           ,
O time            ,team           ,Noun           ,                   ,                           ,
a lágrima         ,tear           ,Noun           ,drop               ,                           ,
a tecnologia      ,technology     ,Noun           ,                   ,                           ,
o telefone_       ,telephone_     ,Noun           ,                   ,                           ,
a televisão       ,television     ,Noun           ,                   ,                           ,
a temperatura     ,temperature    ,Noun           ,                   ,                           ,
os dez            ,ten            ,Noun           ,                   ,                           ,
os dez mil        ,ten thousand   ,Noun           ,                   ,                           ,
o teatro          ,theater        ,Noun           ,                   ,                           ,
elas              ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
a espessura       ,thick          ,Noun           ,                   ,                           ,
o magro           ,thin           ,Noun           ,                   ,                           ,
o terceiro        ,third          ,Noun           ,3rd                ,                           ,
os treze          ,thirteen       ,Noun           ,                   ,                           ,
os trinta         ,thirty         ,Noun           ,                   ,                           ,
os mil            ,thousand       ,Noun           ,                   ,                           ,
os três           ,three          ,Noun           ,                   ,                           ,
o bilhete         ,ticket         ,Noun           ,train              ,                           ,
o apertado        ,tight          ,Noun           ,                   ,                           ,
A Hora            ,time           ,Noun           ,                   ,                           ,
o pneu            ,tire           ,Noun           ,of a car           ,                           ,
ser               ,to be          ,Verb           ,                   ,                           ,
derrotar          ,to beat        ,Verb           ,                   ,                           ,
começar           ,to begin       ,Verb           ,                   ,                           ,
dobrar            ,to bend        ,Verb           ,                   ,                           ,
quebrar           ,to break       ,Verb           ,                   ,                           ,
ferver            ,to boil        ,Verb           ,                   ,                           ,
construir         ,to build       ,Verb           ,                   ,                           ,
queimar           ,to burn        ,Verb           ,                   ,                           ,
comprar           ,to buy         ,Verb           ,                   ,                           ,
chamar            ,to call        ,Verb           ,                   ,                           ,
carregar          ,to carry       ,Verb           ,                   ,                           ,
cancelar          ,to cancel      ,Verb           ,                   ,                           ,
importar-se       ,to care        ,Verb           ,                   ,                           ,
pegar             ,to catch       ,Verb           ,                   ,                           ,
causar            ,to cause       ,Verb           ,                   ,                           ,
limpar            ,to clean       ,Verb           ,                   ,                           ,
fechar            ,to close       ,Verb           ,                   ,                           ,
vir               ,to come        ,Verb           ,                   ,                           ,
comparar          ,to compare     ,Verb           ,                   ,                           ,
competir          ,to compete     ,Verb           ,                   ,                           ,
conectar          ,to connect     ,Verb           ,                   ,                           ,
cozinhar          ,to cook        ,Verb           ,                   ,                           ,
contar            ,to count       ,Verb           ,                   ,                           ,
chorar            ,to cry         ,Verb           ,                   ,                           ,
cortar            ,to cut         ,Verb           ,                   ,                           ,
dançar            ,to dance       ,Verb           ,                   ,                           ,
merecer           ,to deserve     ,Verb           ,                   ,                           ,
morrer            ,to die         ,Verb           ,                   ,                           ,
cavar             ,to dig         ,Verb           ,                   ,                           ,
façam             ,to do          ,Verb           ,                   ,                           ,
para baixo        ,to down        ,Verb           ,                   ,                           ,
desenhar          ,to draw        ,Verb           ,                   ,                           ,
vestir            ,to dress       ,Verb           ,                   ,                           ,
para beber        ,to drink       ,Verb           ,                   ,                           ,
dirigir           ,to drive       ,Verb           ,                   ,                           ,
comer             ,to eat         ,Verb           ,                   ,                           ,
para curtir       ,to enjoy       ,Verb           ,                   ,                           ,
explodir          ,to explode     ,Verb           ,                   ,                           ,
cair              ,to fall        ,Verb           ,                   ,                           ,
alimentar         ,to feed        ,Verb           ,                   ,                           ,
lutar             ,to fight       ,Verb           ,                   ,                           ,
encontrar         ,to find        ,Verb           ,                   ,                           ,
terminar          ,to finish      ,Verb           ,                   ,                           ,
Consertar         ,to fix         ,Verb           ,                   ,                           ,
voar              ,to fly         ,Verb           ,                   ,                           ,
seguir            ,to follow      ,Verb           ,                   ,                           ,
dar               ,to give        ,Verb           ,                   ,                           ,
ir                ,to go          ,Verb           ,                   ,                           ,
crescer           ,to grow        ,Verb           ,                   ,                           ,
pendurar          ,to hang        ,Verb           ,                   ,                           ,
Ter               ,to have        ,Verb           ,                   ,                           ,
ajudar            ,to help        ,Verb           ,                   ,                           ,
segurar           ,to hold        ,Verb           ,                   ,                           ,
saltar            ,to jump        ,Verb           ,                   ,                           ,
manter            ,to keep        ,Verb           ,                   ,                           ,
matar             ,to kill        ,Verb           ,                   ,                           ,
beijar            ,to kiss        ,Verb           ,                   ,                           ,
rir               ,to laugh       ,Verb           ,                   ,                           ,
aprender          ,to learn       ,Verb           ,                   ,                           ,
levantar          ,to lift        ,Verb           ,                   ,                           ,
ouvir             ,to listen      ,Verb           ,to music           ,                           ,
perder            ,to lose        ,Verb           ,                   ,                           ,
amar              ,to love        ,Verb           ,                   ,                           ,
casar             ,to marry       ,Verb           ,                   ,                           ,
encontrar         ,to meet        ,Verb           ,                   ,                           ,
derreter          ,to melt        ,Verb           ,                   ,                           ,
mencionar         ,to mention     ,Verb           ,                   ,                           ,
misturar / mexer  ,to mix/stir    ,Verb           ,                   ,                           ,
abrir             ,to open        ,Verb           ,                   ,                           ,
passar            ,to pass        ,Verb           ,                   ,                           ,
pagar             ,to pay         ,Verb           ,                   ,                           ,
jogar             ,to play        ,Verb           ,                   ,                           ,
para rezar        ,to pray        ,Verb           ,                   ,                           ,
puxar             ,to pull        ,Verb           ,                   ,                           ,
para impulsionar  ,to push        ,Verb           ,                   ,                           ,
colocar           ,to put         ,Verb           ,                   ,                           ,
respeitar         ,to respect     ,Verb           ,                   ,                           ,
para correr       ,to run         ,Verb           ,                   ,                           ,
ver               ,to see         ,Verb           ,a bird             ,                           ,
vender            ,to sell        ,Verb           ,                   ,                           ,
agitar            ,to shake       ,Verb           ,                   ,                           ,
o para atirar     ,to shoot       ,Noun           ,a gun              ,                           ,
assinar           ,to sign        ,Verb           ,                   ,                           ,
cantar            ,to sing        ,Verb           ,                   ,                           ,
sentar            ,to sit         ,Verb           ,                   ,                           ,
dormir            ,to sleep       ,Verb           ,                   ,                           ,
cheirar           ,to smell       ,Verb           ,                   ,                           ,
sorrir            ,to smile       ,Verb           ,                   ,                           ,
falar/dizer       ,to speak/say   ,Verb           ,                   ,                           ,
gastar            ,to spend       ,Verb           ,                   ,                           ,
ficar de pé       ,to stand       ,Verb           ,                   ,                           ,
ficar             ,to stay        ,Verb           ,                   ,                           ,
parar             ,to stop        ,Verb           ,                   ,                           ,
para surpreender  ,to surprise    ,Verb           ,                   ,                           ,
nadar             ,to swim        ,Verb           ,                   ,                           ,
pegar             ,to take        ,Verb           ,                   ,                           ,
provar            ,to taste       ,Verb           ,                   ,                           ,
ensinar           ,to teach       ,Verb           ,                   ,                           ,
pensar            ,to think       ,Verb           ,                   ,                           ,
arremessar        ,to throw       ,Verb           ,                   ,                           ,
tocar             ,to touch       ,Verb           ,                   ,                           ,
virar             ,to turn        ,Verb           ,                   ,                           ,
para cima         ,to up          ,Verb           ,                   ,                           ,
andar             ,to walk        ,Verb           ,                   ,                           ,
para lavar        ,to wash        ,Verb           ,                   ,                           ,
assistir          ,to watch       ,Verb           ,(TV)               ,                           ,
vestir            ,to wear        ,Verb           ,                   ,                           ,
vestir            ,to wear        ,Verb           ,                   ,                           ,
ganhar            ,to win         ,Verb           ,                   ,                           ,
trabalhar         ,to work        ,Verb           ,                   ,                           ,
escrever          ,to write       ,Verb           ,                   ,                           ,
o dedo do pé      ,toe            ,Noun           ,                   ,                           ,
a língua          ,tongue         ,Noun           ,                   ,                           ,
a ferramenta      ,tool           ,Noun           ,                   ,                           ,
o dente           ,tooth          ,Noun           ,                   ,                           ,
o topo            ,top            ,Noun           ,                   ,                           ,
a cidade          ,town           ,Noun           ,                   ,                           ,
o trem            ,train          ,Noun           ,                   ,                           ,
o transporte      ,transportation ,Noun           ,                   ,                           ,
a árvore          ,tree           ,Noun           ,                   ,                           ,
o camião          ,truck          ,Noun           ,                   ,                           ,
os doze           ,twelve         ,Noun           ,                   ,                           ,
os vinte          ,twenty         ,Noun           ,                   ,                           ,
o vinte e um      ,twenty one     ,Noun           ,                   ,                           ,
os dois           ,two            ,Noun           ,                   ,                           ,
os duzentos       ,two hundred    ,Noun           ,                   ,                           ,
o feio            ,ugly           ,Noun           ,                   ,                           ,
o tio             ,uncle          ,Noun           ,                   ,                           ,
a Universidade    ,university     ,Noun           ,                   ,                           ,
o up              ,up             ,Noun           ,                   ,                           ,
o Vale            ,valley         ,Noun           ,                   ,                           ,
o verbo           ,verb           ,Noun           ,                   ,                           ,
a vítima          ,victim         ,Noun           ,                   ,                           ,
a voz             ,voice          ,Noun           ,                   ,                           ,
a vogal           ,vowel          ,Noun           ,                   ,                           ,
o garçom          ,waiter         ,Noun           ,                   ,                           ,
o despertar       ,wake           ,Noun           ,                   ,                           ,
a parede          ,wall           ,Noun           ,                   ,                           ,
a guerra          ,war            ,Noun           ,                   ,                           ,
caloroso          ,warm           ,Adjective      ,                   ,                           ,
a água            ,water          ,Noun           ,                   ,                           ,
a onda            ,wave           ,Noun           ,ocean              ,                           ,
nós               ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
o fraco           ,weak           ,Noun           ,                   ,                           ,
o casamento       ,wedding        ,Noun           ,                   ,                           ,
a semana          ,week           ,Noun           ,                   ,                           ,
a semana          ,week           ,Noun           ,                   ,                           ,
O fim de semana   ,weekend        ,Noun           ,                   ,                           ,
pesar             ,weigh          ,Verb           ,                   ,                           ,
O peso            ,weight         ,Noun           ,                   ,                           ,
O peso            ,weight         ,Noun           ,                   ,                           ,
o poço            ,well           ,Noun           ,                   ,                           ,
o Oeste           ,west           ,Noun           ,                   ,                           ,
o Oeste           ,west           ,Noun           ,                   ,                           ,
o Oeste           ,western        ,Noun           ,                   ,                           ,
o molhado         ,wet            ,Noun           ,adj.               ,                           ,
o quê             ,what           ,Noun           ,                   ,                           ,
o quando          ,when           ,Noun           ,                   ,                           ,
onde              ,where          ,Noun           ,                   ,                           ,
se                ,whether        ,Adverb         ,                   ,                           ,
a bruxa           ,which          ,Noun           ,                   ,                           ,
o tempo           ,while          ,Noun           ,                   ,                           ,
o branco          ,white          ,Noun           ,                   ,                           ,
o branco          ,white          ,Noun           ,                   ,                           ,
A WHO             ,who            ,Noun           ,                   ,                           ,
o todo            ,whole          ,Noun           ,                   ,                           ,
o porquê          ,why            ,Noun           ,                   ,                           ,
a vasta           ,wide           ,Noun           ,                   ,                           ,
a vasta           ,wide           ,Noun           ,                   ,                           ,
a esposa          ,wife           ,Noun           ,                   ,                           ,
a esposa          ,wife           ,Noun           ,                   ,                           ,
o selvagem        ,wild           ,Noun           ,                   ,                           ,
a vontade         ,will           ,Noun           ,                   ,                           ,
a vitória         ,win            ,Noun           ,                   ,                           ,
o vento           ,wind           ,Noun           ,                   ,                           ,
o vento           ,wind           ,Noun           ,                   ,                           ,
a janela          ,window         ,Noun           ,                   ,                           ,
a janela          ,window         ,Noun           ,                   ,                           ,
o vinho           ,wine           ,Noun           ,                   ,                           ,
o vinho           ,wine           ,Noun           ,                   ,                           ,
a asa             ,wing           ,Noun           ,                   ,                           ,
a asa             ,wing           ,Noun           ,                   ,                           ,
o vencedor        ,winner         ,Noun           ,                   ,                           ,
o inverno         ,winter         ,Noun           ,                   ,                           ,
o inverno         ,winter         ,Noun           ,                   ,                           ,
o fio             ,wire           ,Noun           ,                   ,                           ,
a mulher          ,woman          ,Noun           ,                   ,                           ,
a Madeira         ,wood           ,Noun           ,                   ,                           ,
o mundo           ,world          ,Noun           ,                   ,                           ,
o Jardim          ,yard           ,Noun           ,                   ,                           ,
o ano             ,year           ,Noun           ,                   ,                           ,
o amarelo         ,yellow         ,Noun           ,                   ,                           ,
o sim             ,yes            ,Noun           ,                   ,                           ,
vocês             ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
O jovem           ,young          ,Noun           ,                   ,                           ,
o zero            ,zero           ,Noun           ,                   ,                           ,
